"ID","Handle","Command","Title","Body HTML","Sort Order","Template Suffix","Updated At","Published","Published At","Published Scope","Image Src","Image Width","Image Height","Image Alt Text","Row #","Top Row","Must Match","Rule: Product Column","Rule: Relation","Rule: Condition"
"640398033188","essential-shirts","MERGE","Essential Shirts","<p><meta charset=""utf-8"">Discover timeless essentials with our collection of shirts designed for everyday comfort and effortless style. From classic cuts to versatile hues, these staples belong in every wardrobe.</p>","Alphabet","","2025-07-25 08:10:06 -0400","true","2025-07-25 08:02:45 -0400","global","","","","","1","true","any condition","Title","Contains","shirt"
"640398033188","essential-shirts","MERGE","Essential Shirts","","Alphabet","","2025-07-25 08:10:06 -0400","true","2025-07-25 08:02:45 -0400","global","","","","","2","","","Title","Contains","blouse"
"640398033188","essential-shirts","MERGE","Essential Shirts","","Alphabet","","2025-07-25 08:10:06 -0400","true","2025-07-25 08:02:45 -0400","global","","","","","3","","","Title","Contains","red"
"640398098724","varsity-casual-tops","MERGE","Varsity & Casual Tops","<p><meta charset=""utf-8"">Channel laid-back charm with our varsity and casual tops. Inspired by collegiate style and streetwear ease, these pieces are perfect for layering or making a statement on their own.</p>","Alphabet","","2025-07-25 08:10:36 -0400","true","2025-07-25 08:04:16 -0400","global","","","","","4","true","any condition","Title","Contains","tops"
"640398098724","varsity-casual-tops","MERGE","Varsity & Casual Tops","","Alphabet","","2025-07-25 08:10:36 -0400","true","2025-07-25 08:04:16 -0400","global","","","","","5","","","Title","Contains","blouse"
"640398098724","varsity-casual-tops","MERGE","Varsity & Casual Tops","","Alphabet","","2025-07-25 08:10:36 -0400","true","2025-07-25 08:04:16 -0400","global","","","","","6","","","Title","Contains","varsity"
"640398164260","cozy-knitwear","MERGE","Cozy Knitwear","<p><meta charset=""utf-8"">Wrap yourself in warmth with our cozy knitwear collection. Featuring soft wool blends and relaxed silhouettes, these knits are ideal for chilly days and stylish lounging.</p>","Alphabet","","2025-07-25 08:06:25 -0400","true","2025-07-25 08:06:05 -0400","global","","","","","7","true","any condition","Title","Contains","knit"
"640398164260","cozy-knitwear","MERGE","Cozy Knitwear","","Alphabet","","2025-07-25 08:06:25 -0400","true","2025-07-25 08:06:05 -0400","global","","","","","8","","","Title","Contains","wool"
"640398164260","cozy-knitwear","MERGE","Cozy Knitwear","","Alphabet","","2025-07-25 08:06:25 -0400","true","2025-07-25 08:06:05 -0400","global","","","","","9","","","Title","Contains","sweater"
"640398262564","womenswear-favorites","MERGE","Womenswear Favorites","<p><meta charset=""utf-8"">Explore our curated selection of women's apparel, highlighting contemporary designs and comfortable fits. From casual staples to stylish standouts, find your next favorite look.</p>","Alphabet","","2025-07-25 08:12:50 -0400","true","2025-07-25 08:12:42 -0400","global","","","","","10","true","any condition","Title","Contains","classic"
"640398262564","womenswear-favorites","MERGE","Womenswear Favorites","","Alphabet","","2025-07-25 08:12:50 -0400","true","2025-07-25 08:12:42 -0400","global","","","","","11","","","Title","Contains","cotton"
"640398262564","womenswear-favorites","MERGE","Womenswear Favorites","","Alphabet","","2025-07-25 08:12:50 -0400","true","2025-07-25 08:12:42 -0400","global","","","","","12","","","Title","Contains","yellow"
"640398262564","womenswear-favorites","MERGE","Womenswear Favorites","","Alphabet","","2025-07-25 08:12:50 -0400","true","2025-07-25 08:12:42 -0400","global","","","","","13","","","Title","Contains","sports"
"640398393636","menswear-essentials","MERGE","Menswear Essentials","<p><meta charset=""utf-8"">Shop our menswear must-haves designed for style and substance. These go-to pieces deliver a balance of comfort, quality, and versatility for everyday wear.</p>","Alphabet","","2025-07-25 08:14:02 -0400","true","2025-07-25 08:13:56 -0400","global","","","","","14","true","any condition","Title","Contains","ocean"
"640398393636","menswear-essentials","MERGE","Menswear Essentials","","Alphabet","","2025-07-25 08:14:02 -0400","true","2025-07-25 08:13:56 -0400","global","","","","","15","","","Title","Contains","Chequered"
